school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
1011007-ct7,24,20,0,0,3,8,28,1,2,13,9,4,7,0
1011009-ct9,52,2,3,0,0,1,0,1,1,0,10,1,0,0
1011011-ct11,33,6,9,0,0,2,0,0,0,0,0,15,1,0
1011019-ct19,0,1,2,1,0,0,32,6,2,1,0,1,0,0
1011022-ct22,2,0,0,0,0,0,21,21,0,0,0,0,0,0
1011020-ct20,0,0,2,0,0,0,22,1,0,6,0,1,0,0
1011017-ct17,0,0,0,0,0,0,11,4,16,0,0,0,0,0
1011016-ct16,6,1,12,3,1,0,1,0,0,0,1,1,0,0
1011004-ct4,13,2,0,0,0,0,0,1,0,1,0,0,0,0
1011006-ct6,0,0,0,0,0,0,8,0,1,1,6,0,1,0
1011005-ct5,10,5,0,0,0,0,0,0,0,0,0,0,0,0
1011026-ct26,0,0,0,0,0,0,1,0,0,10,0,0,0,0
1011008-ct8,0,0,5,0,0,0,1,0,0,0,0,0,0,0
1011028-ct28,2,0,0,0,0,1,1,0,1,0,0,0,0,0
1011014-ct14,0,3,0,0,0,0,0,0,0,1,0,0,0,0
