school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
1011024-ct24,5,5,64,8,2,0,1,1,4,3,0,0,0,0
1011018-ct18,14,15,8,0,12,9,11,10,1,0,10,2,0,0
1011001-ct1,15,14,9,2,10,9,2,1,4,4,0,0,0,0
1011019-ct19,6,5,37,2,2,0,1,1,4,3,0,0,0,0
1011011-ct11,5,5,33,5,2,1,1,1,4,3,0,0,0,0
1011023-ct23,5,5,28,2,2,0,1,1,4,3,0,0,0,0
1011003-ct3,0,0,43,1,0,0,0,0,0,0,1,0,0,0
1011022-ct22,5,5,7,2,2,0,1,1,4,3,0,0,0,0
1011026-ct26,5,5,6,2,2,0,1,1,4,3,0,0,0,0
1011005-ct5,7,5,4,2,2,0,1,1,4,3,0,0,0,0
1011014-ct14,6,5,4,2,2,0,1,1,4,3,0,0,0,0
1011013-ct13,5,5,4,2,2,0,1,1,4,3,0,0,0,0
1011010-ct10,5,5,4,2,2,0,1,1,4,3,0,0,0,0
1011008-ct8,5,5,4,2,2,0,1,1,4,3,0,0,0,0
1011004-ct4,5,5,4,2,2,0,1,1,4,3,0,0,0,0
1011028-ct28,5,5,4,2,2,0,1,1,4,3,0,0,0,0
1011020-ct20,0,0,16,2,0,0,0,0,0,2,0,0,0,0
