school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
1011006-ct6,12,9,0,2,0,4,14,2,15,7,6,2,0,0
1011009-ct9,29,1,25,9,0,2,0,2,0,1,2,1,0,0
1011017-ct17,0,2,0,0,0,1,0,15,0,9,11,8,0,0
1011004-ct4,34,5,0,0,0,0,0,0,2,0,1,0,0,0
1011022-ct22,12,0,0,0,0,0,0,0,0,0,10,0,0,0
1011005-ct5,19,2,0,0,0,0,0,0,0,0,0,0,0,0
1011011-ct11,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1011001-ct1,0,2,1,0,0,0,1,0,0,14,0,0,0,0
1011014-ct14,0,0,0,0,0,0,0,10,0,0,8,0,0,0
1011007-ct7,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1011019-ct19,0,0,0,0,0,0,0,12,0,0,0,0,0,0
1011013-ct13,0,0,2,2,0,0,1,0,0,0,0,0,0,0
1011018-ct18,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1011003-ct3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
