school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
1011018-ct18,21,9,20,7,0,3,30,3,21,17,26,26,0,0
1011009-ct9,4,1,82,20,0,3,0,1,2,1,1,0,1,0
1011014-ct14,28,10,23,4,0,0,19,19,0,0,0,0,0,0
1011022-ct22,14,0,0,1,1,3,25,1,20,8,4,3,3,0
1011011-ct11,23,1,0,0,0,15,0,0,0,0,0,0,0,0
1011001-ct1,13,2,0,0,0,0,3,0,2,10,4,1,0,0
1011004-ct4,23,3,0,0,0,0,0,0,1,0,0,0,0,0
1011016-ct16,5,5,4,2,2,0,1,1,4,3,0,0,0,0
1011007-ct7,0,0,0,0,0,0,26,0,0,0,0,0,0,0
1011013-ct13,0,0,10,4,1,0,4,0,1,4,0,0,1,0
1011010-ct10,1,1,0,1,0,1,2,1,7,7,0,1,0,0
1011008-ct8,15,1,0,0,0,0,0,0,0,2,0,0,0,0
1011017-ct17,0,0,0,0,0,0,0,18,0,0,0,0,0,0
1011006-ct6,0,0,13,0,0,1,1,0,0,0,0,0,0,0
1011019-ct19,0,0,0,0,0,0,0,10,0,0,0,0,0,0
1011028-ct28,6,0,1,0,0,0,0,0,0,1,1,0,0,0
1011005-ct5,3,0,0,0,0,0,0,0,2,3,0,0,0,0
1011020-ct20,2,0,2,0,0,0,0,0,0,0,0,0,0,0
1011024-ct24,0,0,1,0,0,0,0,0,0,0,0,0,0,0
