school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
1011014-ct14,16,10,26,0,1,0,29,0,3,1,1,1,0,0
1011018-ct18,1,0,57,6,0,0,0,14,0,0,1,0,0,0
1011001-ct1,13,4,0,0,0,0,36,1,1,8,7,0,1,0
1011009-ct9,2,4,54,0,0,5,0,2,0,4,0,0,0,0
1011022-ct22,0,0,11,5,0,0,4,0,21,0,0,0,0,0
1011011-ct11,33,0,3,0,0,0,0,0,0,0,0,0,0,0
1011004-ct4,26,4,0,0,0,0,0,0,2,1,0,0,0,0
1011028-ct28,7,5,0,0,0,1,0,1,2,0,2,0,0,0
1011003-ct3,0,0,13,1,0,0,0,0,0,0,0,0,0,0
1011010-ct10,0,0,0,0,0,0,0,0,8,0,0,0,0,0
1011007-ct7,0,0,0,0,0,0,7,0,0,0,0,0,0,0
1011024-ct24,0,0,4,0,0,3,0,0,0,0,0,0,0,0
1011006-ct6,0,0,3,0,0,0,1,1,0,0,1,0,0,0
1011019-ct19,0,0,2,0,0,0,0,0,0,0,0,0,0,0
