school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
1011018-ct18,40,30,71,12,14,13,42,26,26,20,37,28,0,0
1011009-ct9,77,13,120,29,2,11,2,5,10,9,55,1,1,0
1011001-ct1,45,29,23,2,10,12,74,29,48,40,13,3,2,0
1011019-ct19,8,12,68,7,2,3,47,38,60,11,45,23,6,0
1011022-ct22,23,5,45,9,3,3,32,23,28,11,13,3,3,0
1011007-ct7,41,27,4,2,8,8,53,2,8,17,9,4,9,0
1011014-ct14,36,20,35,6,3,2,34,20,7,5,9,7,0,0
1011006-ct6,26,18,18,4,3,6,20,15,24,21,15,10,3,0
1011020-ct20,25,11,46,8,2,1,25,4,6,15,12,2,1,0
1011011-ct11,46,11,49,8,2,15,1,1,4,3,0,15,1,0
1011017-ct17,6,7,4,2,2,1,28,27,28,12,12,9,1,0
1011004-ct4,73,31,7,2,2,0,1,2,7,5,1,0,0,0
1011003-ct3,5,5,77,5,2,0,4,1,8,7,12,1,0,0
1011024-ct24,5,5,68,11,2,3,1,1,4,3,0,0,0,0
1011005-ct5,44,21,5,2,2,0,1,4,7,11,1,1,0,0
1011016-ct16,23,9,21,9,5,2,4,2,8,6,4,2,2,0
1011023-ct23,7,5,65,3,2,0,1,1,4,3,0,0,0,0
1011028-ct28,20,22,6,2,2,3,3,3,8,6,4,1,1,0
1011008-ct8,24,9,17,2,2,0,2,2,5,6,1,0,0,0
1011010-ct10,6,7,12,3,2,1,3,2,18,10,0,1,1,0
1011013-ct13,5,5,14,8,3,0,5,1,5,7,0,0,1,0
1011026-ct26,6,5,6,2,2,0,3,1,5,13,0,0,0,0
1011021-ct21,5,5,4,2,2,0,1,1,4,3,0,0,0,0
