school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
1011009-ct9,0,0,0,0,2,0,84,0,0,0
1011018-ct18,0,7,8,0,10,5,40,6,0,1
1011024-ct24,0,0,0,0,3,0,55,0,0,0
1011001-ct1,0,9,8,0,6,7,7,12,0,0
1011011-ct11,0,0,0,0,14,0,32,0,0,0
1011020-ct20,0,0,2,0,1,2,38,2,0,0
1011019-ct19,0,0,0,0,1,1,42,0,0,0
1011022-ct22,0,0,0,0,0,0,33,0,0,0
1011023-ct23,0,1,0,0,0,0,20,0,0,0
1011006-ct6,0,1,0,0,4,0,1,11,1,2
1011003-ct3,0,0,0,0,0,0,16,0,0,0
1011014-ct14,0,0,1,0,2,0,10,2,0,0
1011017-ct17,0,0,0,0,0,0,1,10,0,0
1011008-ct8,0,0,0,0,0,0,9,1,0,0
1011028-ct28,0,3,1,0,1,2,0,0,0,0
1011016-ct16,0,1,0,0,1,1,3,0,0,0
1011007-ct7,0,0,0,0,5,0,0,0,0,0
1011010-ct10,0,1,0,0,1,0,0,2,0,0
1011013-ct13,0,1,0,0,0,0,1,0,0,0
1011005-ct5,0,2,0,0,0,0,0,0,0,0
1011004-ct4,2,0,0,0,0,0,0,0,0,0
1011026-ct26,0,0,0,0,0,0,0,1,0,0
