school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
2031017-mz17,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2031007-mz7,1,0,0,0,0,0,0,0,0,2,0,0,0,0
2031010-mz10,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2031021-mz21,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2031005-mz5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031008-mz8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031020-mz20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031022-mz22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031027-mz27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031028-mz28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031030-mz30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
