school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
2051001-mz88,0,0,1,0,0,0,0,0,0,2,0,0,0,0
2051005-mz92,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2051006-mz93,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2051007-mz94,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2051008-mz95,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2051009-mz96,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2051012-mz99,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2031017-mz17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031028-mz28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031030-mz30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
