school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
2051012-mz99,8,6,6,2,3,11,1,1,6,3,0,0,0,0
2051006-mz93,5,5,4,2,2,0,1,1,12,3,0,0,0,0
2051008-mz95,7,7,5,3,2,0,2,1,4,3,1,0,0,0
2051001-mz88,7,5,5,3,3,0,1,1,4,3,0,0,0,0
2051009-mz96,6,5,5,2,3,0,3,1,4,3,0,0,0,0
2051005-mz92,6,5,4,2,2,0,2,2,5,3,0,0,0,0
2051007-mz94,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2031030-mz30,0,0,17,0,0,0,0,0,0,0,0,0,0,0
2031017-mz17,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2031028-mz28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
