school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
2041003-mz46,1,0,22,0,1,21,1,0,0,1,0,0,0,0
2041015-mz58,0,0,13,0,0,12,1,1,0,0,0,0,0,0
2051006-mz93,0,0,25,0,0,0,0,0,0,0,0,0,0,0
2051009-mz96,0,0,7,0,0,0,12,0,0,0,0,0,0,0
2051005-mz92,1,1,12,0,0,0,0,0,1,0,1,0,0,0
2041008-mz51,0,0,15,0,0,0,0,0,0,0,0,0,0,0
2041001-mz44,3,0,3,3,0,3,0,0,0,0,0,0,0,0
2051001-mz88,4,3,0,0,0,0,0,0,0,0,0,0,0,0
2041002-mz45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041011-mz54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
