school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
2011008-mz85,0,0,1,0,0,0,0,0,0,2,0,0,0,0
-nan,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2011002-mz79,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2011005-mz82,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2011006-mz83,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2011010-mz87,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2041001-mz44,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2041002-mz45,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2041003-mz46,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2041004-mz47,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2041006-mz49,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2041008-mz51,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2041011-mz54,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2041013-mz56,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2041015-mz58,0,0,0,0,0,0,0,0,0,2,0,0,0,0
