school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
2011008-mz85,15,6,28,4,4,0,5,1,4,5,0,0,1,0
2011005-mz82,5,5,4,2,2,0,3,1,4,3,0,0,0,0
2011010-mz87,5,5,4,2,2,0,2,1,4,3,0,0,0,0
-nan,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2011002-mz79,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2011006-mz83,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041001-mz44,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041002-mz45,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041003-mz46,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041004-mz47,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041006-mz49,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041008-mz51,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041011-mz54,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041013-mz56,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041015-mz58,5,5,4,2,2,0,1,1,4,3,0,0,0,0
