school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
2031009-mz9,12,2,7,0,5,16,4,18,0,17,0,0,0,0
2031017-mz17,7,3,2,0,1,0,0,0,0,2,0,0,0,0
2031007-mz7,5,0,3,1,2,1,0,0,0,2,0,0,0,0
2031027-mz27,3,0,3,1,0,0,0,0,0,2,0,0,0,0
2031021-mz21,0,0,1,0,0,0,1,0,0,2,0,0,0,0
2031028-mz28,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2041001-mz44,0,0,1,0,0,0,0,0,0,2,0,0,0,0
2011008-mz85,0,0,1,0,0,0,0,0,0,2,0,0,0,0
2051001-mz88,0,0,1,0,0,0,0,0,0,2,0,0,0,0
2041003-mz46,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2041004-mz47,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2041006-mz49,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2041008-mz51,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2041011-mz54,0,0,0,0,0,0,0,0,0,2,0,0,0,0
-nan,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2041013-mz56,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2041002-mz45,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2051005-mz92,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2051006-mz93,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2051007-mz94,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2051008-mz95,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2051009-mz96,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2041015-mz58,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2031030-mz30,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2031034-mz34,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2031033-mz33,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2011002-mz79,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2031025-mz25,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2031022-mz22,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2031020-mz20,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2031010-mz10,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2031008-mz8,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2031005-mz5,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2031004-mz4,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2011010-mz87,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2011006-mz83,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2011005-mz82,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2051012-mz99,0,0,0,0,0,0,0,0,0,2,0,0,0,0
