school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
2031009-mz9,34,27,26,18,12,27,20,25,22,24,4,11,0,0
2031030-mz30,74,7,60,5,4,2,2,7,5,3,34,1,0,0
2031017-mz17,43,48,23,3,4,5,44,4,4,9,0,0,0,0
2031020-mz20,30,5,31,2,5,0,24,3,6,7,0,15,0,0
2031021-mz21,33,8,5,3,3,1,24,2,4,11,2,9,0,0
2031025-mz25,22,22,4,2,2,0,34,3,4,5,0,0,0,0
2031022-mz22,5,5,40,2,2,0,1,19,4,3,0,0,0,0
2031027-mz27,19,5,15,11,2,0,14,2,4,3,0,1,1,0
2041003-mz46,6,5,26,2,3,21,2,1,4,4,0,0,0,0
2031007-mz7,16,11,12,5,4,4,5,2,6,5,1,3,0,0
2011008-mz85,15,6,28,4,4,0,5,1,4,5,0,0,1,0
2051001-mz88,10,8,36,3,3,0,1,1,4,3,0,0,0,0
2051006-mz93,5,5,29,2,2,0,9,1,12,3,0,0,0,0
2031005-mz5,5,5,41,3,2,0,2,1,4,3,0,0,0,0
2031008-mz8,29,5,4,2,2,15,1,1,4,3,0,0,0,0
2031028-mz28,7,5,20,3,2,17,2,1,4,3,0,0,0,0
2051012-mz99,8,6,22,2,3,12,1,1,6,3,0,0,0,0
2031004-mz4,27,6,6,2,2,1,2,1,4,3,0,0,0,0
2041015-mz58,5,5,17,2,2,12,2,2,4,3,0,0,0,0
2051009-mz96,6,5,12,2,3,0,13,1,4,3,0,0,0,0
2051005-mz92,6,6,16,2,2,0,2,2,5,3,1,0,0,0
2041008-mz51,5,5,19,2,2,0,1,1,4,3,0,0,0,0
2041001-mz44,8,5,7,5,2,3,1,1,4,3,0,0,0,0
2051008-mz95,7,7,5,3,2,0,2,1,4,3,1,0,0,0
2051007-mz94,6,5,6,3,3,1,2,1,4,3,0,0,0,0
2011005-mz82,5,5,4,2,2,0,3,1,4,3,0,0,0,0
2011010-mz87,5,5,4,2,2,0,2,1,4,3,0,0,0,0
2041013-mz56,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2011006-mz83,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2031010-mz10,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041011-mz54,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041006-mz49,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041004-mz47,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041002-mz45,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2031034-mz34,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2031033-mz33,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2011002-mz79,5,5,4,2,2,0,1,1,4,3,0,0,0,0
-nan,5,5,4,2,2,0,1,1,4,3,0,0,0,0
