school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
2031009-mz9,0.0,1.6542372881355931,0.37933817594834546,0.47070217917675544,342.8847457627119,1.5609362389023407,31.408073715361844,26.06876513317191,0.0,7.586763518966909
2031028-mz28,0.0,0.0,0.0,0.0,251.71007371007371,0.0,32.85573300573301,0.0,0.0,0.0
2031016-mz16,0.0,67.0,67.0,0.0,67.0,67.0,1.7833333333333332,0.0,0.0,0.0
2031008-mz8,0.0,0.0,0.0,0.0,152.0,0.0,25.083333333333336,9.0,0.0,0.0
2041003-mz46,0.0,0.0,0.0,0.0,131.89473684210526,0.0,0.0,0.0,0.0,0.0
2031007-mz7,0.0,37.183098591549296,37.183098591549296,0.028169014084507043,15.267605633802816,37.183098591549296,1.7380281690140844,0.0,0.0,0.0
2011008-mz85,0.0,31.764705882352942,29.779411764705884,0.022058823529411766,1.9852941176470589,22.830882352941178,0.0,8.933823529411764,0.0,0.0
2031005-mz5,0.0,23.0,20.0,0.0,20.0,20.0,3.35,3.0,0.0,0.0
2031030-mz30,0.0,0.0,3.897911832946636,0.0,9.020881670533642,3.897911832946636,43.24674529517917,0.0,0.0,0.0
2031011-mz11,4.6875,0.0,0.0,0.0,0.0,0.0,51.34010416666666,0.0,0.0,0.0
2031014-mz14,0.0,0.0,0.0,0.0,0.0,0.0,36.847716346153845,0.0,0.0,0.0
2031027-mz27,0.0,0.0,0.0,0.0,0.0,0.0,25.711999999999996,0.0,0.0,0.0
2031017-mz17,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2031004-mz4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2031021-mz21,0.0,0.0,1.0,0.0,0.0,1.0,0.65,0.0,0.0,0.0
