school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
3051032-rj32,0,0,10,0,2,2,0,0,0,16,0,0,0,0
3072050-rj100,0,0,0,0,0,0,8,8,0,3,0,0,0,0
3072015-rj65,0,0,0,0,0,0,0,18,0,0,0,0,0,0
3072023-rj73,0,0,7,0,0,0,4,0,0,4,0,0,0,0
3051010-rj10,0,0,1,3,2,1,0,0,0,2,0,1,0,0
3051025-rj25,0,0,4,1,0,0,0,0,0,4,0,0,0,0
3072008-rj58,0,0,0,0,0,0,8,0,0,0,0,0,0,0
3051023-rj23,0,0,0,0,0,0,5,0,0,1,0,0,0,0
3051036-rj36,0,0,0,0,1,0,0,0,0,4,0,0,0,0
3051049-rj49,0,0,1,0,0,0,0,0,0,3,0,0,0,0
3051031-rj31,0,0,0,0,0,0,0,0,0,3,0,0,0,0
3072026-rj76,0,0,3,0,0,0,0,0,0,0,0,0,0,0
3051014-rj14,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3072049-rj99,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3051019-rj19,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3051047-rj47,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3051050-rj50,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3072032-rj82,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3051011-rj11,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3072018-rj68,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3072043-rj93,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3072019-rj69,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3072012-rj62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072002-rj52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051030-rj30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072046-rj96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051033-rj33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072042-rj92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072041-rj91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072034-rj84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072031-rj81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051026-rj26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072030-rj80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072028-rj78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072003-rj53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072025-rj75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072024-rj74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051006-rj6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051001-rj1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
