school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
3051032-rj32,4,12,18,9,5,26,10,2,11,26,12,19,8,0
3051010-rj10,10,10,10,9,9,4,4,4,6,4,3,3,2,0
3051006-rj6,0,1,0,1,0,1,27,0,0,32,2,2,2,0
3072023-rj73,4,1,18,1,0,0,21,1,1,13,1,3,2,0
3072050-rj100,0,2,0,0,0,0,20,13,19,3,0,3,0,0
3072024-rj74,26,0,16,0,0,2,0,0,0,16,0,0,0,0
3051036-rj36,6,6,4,2,3,0,1,2,7,14,5,0,0,0
3051025-rj25,0,0,5,12,0,16,0,0,0,12,0,0,0,0
3072015-rj65,0,2,0,0,0,0,0,22,3,17,0,0,1,0
3072026-rj76,3,0,35,4,0,2,0,0,0,0,0,0,0,0
3051031-rj31,6,6,4,2,2,0,4,1,7,9,0,0,1,0
3051049-rj49,3,2,1,2,0,0,4,0,0,27,0,3,0,0
3072032-rj82,6,5,4,3,2,0,4,1,4,6,6,0,0,0
3051023-rj23,1,2,3,2,0,0,20,1,3,4,1,0,1,0
3072002-rj52,0,2,1,0,0,0,26,0,1,0,0,6,0,0
3072030-rj80,11,0,4,0,0,0,14,0,0,0,0,0,0,0
3072008-rj58,0,0,0,0,0,0,29,0,0,0,0,0,0,0
3051011-rj11,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3051047-rj47,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072018-rj68,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3051019-rj19,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3051014-rj14,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3051030-rj30,3,0,2,0,0,17,4,0,0,0,0,0,0,0
3072003-rj53,0,0,0,0,0,0,24,0,0,2,0,0,0,0
3051050-rj50,0,0,0,0,0,14,0,0,0,11,0,0,0,0
3072043-rj93,0,0,0,0,0,0,25,0,0,0,0,0,0,0
3072049-rj99,5,2,0,0,0,0,2,1,2,3,0,2,3,0
3051033-rj33,0,0,0,0,1,1,15,0,0,1,0,0,0,0
3072042-rj92,1,0,1,1,0,1,8,0,0,0,0,0,0,0
3072046-rj96,0,0,0,0,1,1,3,0,0,1,3,0,0,0
3051001-rj1,1,0,1,0,0,0,1,0,0,3,1,1,1,0
3072041-rj91,0,0,0,0,0,8,0,0,0,0,0,0,0,0
3072019-rj69,0,0,1,0,0,0,0,0,0,6,0,1,0,0
3072031-rj81,0,0,0,0,0,0,1,1,1,1,0,1,0,0
3072034-rj84,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3051026-rj26,0,0,0,0,0,0,0,0,0,3,0,0,0,0
3072025-rj75,0,0,0,0,0,0,2,0,0,0,0,0,0,0
3072028-rj78,0,0,0,0,0,0,2,0,0,0,0,0,0,0
3072012-rj62,0,0,0,0,0,0,1,0,0,0,0,0,0,0
