school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3051006-rj6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,0.0,0.0
3051050-rj50,0.0,0.0,0.0,0.0,226.0,0.0,0.0,273.0,0.0,0.0
3051025-rj25,0.0,0.0,0.0,0.0,376.0,0.0,26.991666666666667,0.0,0.0,0.0
3051036-rj36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,228.0,0.0
3072019-rj69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,153.0,0.0
3051032-rj32,16.0,0.0,0.0,0.0,96.57142857142857,0.0,0.0,17.0,0.0,0.0
3051049-rj49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.4,34.0,0.0
3072041-rj91,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0
3072046-rj96,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0
3051031-rj31,17.0,0.6666666666666666,0.0,0.0,3.0,1.0,2.683333333333333,1.5,0.0,0.0
3072023-rj73,0.0,0.0,0.0,0.0,0.0,0.0,14.549999999999999,2.0,0.0,0.0
3072024-rj74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
3051044-rj44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
3051030-rj30,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
3072031-rj81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
3072030-rj80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
3072012-rj62,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051001-rj1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072002-rj52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072050-rj100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
