school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
3051002-rj2,5,11,6,11,8,17,9,9,22,23,22,15,7,0
3072026-rj76,26,0,2,28,9,17,0,13,12,0,0,0,0,0
3072032-rj82,0,0,3,0,0,15,0,29,24,10,0,5,0,0
3051022-rj22,0,22,18,0,0,0,0,2,15,16,0,0,0,0
3051036-rj36,25,3,0,0,0,3,0,0,19,1,16,2,0,0
3072008-rj58,4,5,2,1,0,5,5,6,4,9,20,4,3,0
3051032-rj32,1,2,9,8,17,2,0,0,0,0,0,0,0,0
3072033-rj83,1,0,11,0,0,0,0,1,15,8,0,0,0,0
3051018-rj18,9,2,0,2,4,0,1,14,0,2,0,2,0,0
3051007-rj7,5,5,6,2,7,0,1,1,4,3,0,0,0,0
3072006-rj56,0,1,0,0,0,0,9,15,0,0,0,4,1,0
3051023-rj23,13,0,0,0,1,0,0,0,0,15,0,0,0,0
3072029-rj79,0,0,0,0,0,0,0,0,0,0,0,29,0,0
3051035-rj35,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072048-rj98,13,4,0,0,0,0,4,1,0,0,0,2,0,0
3072003-rj53,0,0,0,0,0,0,0,0,24,0,0,0,0,0
3072030-rj80,0,0,15,3,0,0,4,0,0,0,1,1,0,0
3072047-rj97,9,0,7,0,0,0,0,0,0,7,0,0,0,0
3051010-rj10,9,0,0,0,0,0,0,0,0,0,0,10,0,0
3051047-rj47,0,3,0,0,1,13,0,0,2,0,0,0,0,0
3072028-rj78,0,0,18,0,0,0,0,0,0,0,1,0,0,0
3051031-rj31,0,0,2,0,0,0,0,13,0,1,0,0,0,0
3051025-rj25,13,0,0,0,0,0,2,0,0,0,0,0,0,0
3072041-rj91,0,0,9,0,0,4,0,0,0,0,0,0,0,0
3051013-rj13,4,4,0,0,0,0,0,0,3,0,0,0,0,0
3051041-rj41,1,1,1,0,0,0,0,3,1,1,1,0,2,0
3051014-rj14,5,0,0,0,6,0,0,0,0,0,0,0,0,0
3072022-rj72,0,1,1,1,0,4,0,0,0,1,0,0,0,0
3072012-rj62,8,0,0,0,0,0,0,0,0,0,0,0,0,0
3072024-rj74,0,0,0,0,0,3,0,0,0,4,0,0,0,0
3051015-rj15,0,0,0,1,6,0,0,0,0,0,0,0,0,0
3072031-rj81,0,0,0,0,0,0,0,1,4,0,1,0,0,0
3072036-rj86,0,0,1,0,0,0,0,0,0,0,0,2,0,0
3072042-rj92,0,0,0,0,0,0,0,0,3,0,0,0,0,0
