school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3051002-rj2,0.0,90.0,0.0,0.0,771.0,0.0,0.0,189.0,0.0,102.0
3051014-rj14,0.0,191.0,159.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0
3051015-rj15,0.0,163.0,158.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0
3051007-rj7,0.0,129.0,108.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0
3051032-rj32,0.0,126.0,42.0,0.0,0.0,103.0,17.35,0.0,0.0,0.0
3051018-rj18,0.0,137.0,102.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0
3072008-rj58,0.0,0.0,0.0,0.0,135.0,0.0,0.0,81.5,0.0,0.0
3072026-rj76,0.0,0.0,0.0,0.0,0.0,0.0,88.46666666666667,0.0,0.0,0.0
3051035-rj35,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0
3072032-rj82,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
3051023-rj23,0.0,20.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
3072033-rj83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
3072047-rj97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
3072042-rj92,0.0,0.0,0.0,0.0,4.0,0.0,7.6499999999999995,0.0,0.0,0.0
3051036-rj36,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
3072030-rj80,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0
3051022-rj22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
