school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
3051032-rj32,0,0,6,1,10,0,0,0,0,3,0,0,3,0
3072050-rj100,0,0,2,5,0,14,0,0,0,1,0,0,0,0
3072032-rj82,0,0,3,0,1,1,0,2,3,8,0,0,0,0
3051002-rj2,0,0,0,0,11,0,0,0,0,2,0,0,0,0
3051005-rj5,0,0,2,2,4,1,0,0,0,1,0,0,0,0
3072026-rj76,0,0,0,0,4,1,0,0,0,0,2,1,0,0
3072031-rj81,0,0,0,0,0,0,0,0,0,8,0,0,0,0
3051008-rj8,0,0,0,0,0,0,0,0,0,0,2,0,0,0
3051036-rj36,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3072008-rj58,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3072030-rj80,0,0,0,0,0,0,0,0,0,0,0,2,0,0
3051041-rj41,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3072003-rj53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072023-rj73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072024-rj74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072040-rj90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
