school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
3051002-rj2,8,5,7,8,17,19,2,6,11,21,5,3,0,0
3051005-rj5,1,6,5,13,7,13,17,4,2,14,7,9,6,0
3051032-rj32,6,2,13,16,16,3,2,1,1,6,3,3,16,0
3072032-rj82,5,8,4,0,2,4,1,5,7,10,1,15,3,0
3051036-rj36,1,0,2,0,0,0,1,0,0,0,1,37,13,0
3072026-rj76,0,0,0,2,14,2,0,0,0,0,15,15,0,0
3072030-rj80,0,0,1,0,0,11,0,0,0,1,7,23,0,0
3072050-rj100,0,0,2,9,0,22,0,0,0,5,0,0,0,0
3072023-rj73,3,0,0,0,0,0,0,0,0,2,10,20,0,0
3072003-rj53,0,0,0,0,0,0,0,0,3,0,0,22,0,0
3051008-rj8,0,0,0,0,0,7,1,0,0,0,8,3,0,0
3072031-rj81,4,0,0,0,0,0,0,0,0,8,0,7,0,0
3072024-rj74,1,3,1,4,0,3,0,0,0,1,0,4,0,0
3072040-rj90,0,0,8,0,0,0,0,0,4,3,2,0,0,0
3072008-rj58,0,0,0,0,0,1,0,0,0,5,0,0,0,0
3051041-rj41,1,0,1,1,0,0,0,0,0,0,0,0,0,0
