school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3051032-rj32,0,16,5,0,3,2,23,0,0,0
3051002-rj2,0,2,2,0,18,0,0,8,0,0
3051008-rj8,0,0,0,0,14,0,0,0,0,0
3072026-rj76,0,2,6,0,4,1,0,0,0,0
3072030-rj80,0,0,0,0,11,0,0,0,0,0
3051005-rj5,0,1,0,0,4,2,2,0,0,0
3072024-rj74,0,0,0,0,4,0,1,0,0,0
3051036-rj36,0,0,0,0,3,0,0,0,0,0
3072032-rj82,2,1,0,0,0,0,0,0,0,0
3072008-rj58,0,0,0,0,0,0,0,2,0,0
3072050-rj100,0,0,0,0,0,0,0,1,0,0
