school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3051002-rj2,0.0,38.0,0.0,0.0,174.66666666666666,0.0,0.0,67.66666666666667,0.0,0.0
3051008-rj8,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0
3072030-rj80,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0
3072024-rj74,0.0,0.0,0.0,0.0,67.0,0.0,1.933333333333333,0.0,0.0,0.0
3051032-rj32,0.0,26.8,1.75,0.0,9.333333333333334,3.5,8.835714285714287,0.0,0.0,0.0
3051005-rj5,0.0,16.0,0.0,0.0,14.666666666666666,7.0,5.766666666666667,0.0,0.0,0.0
3051036-rj36,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
3072032-rj82,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072026-rj76,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0
3072008-rj58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072050-rj100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
