school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
3072040-rj90,21,6,19,0,0,35,0,25,17,0,28,24,0,0
3072008-rj58,0,1,24,2,1,8,9,7,15,11,27,15,9,0
3072036-rj86,0,6,29,9,4,8,11,6,1,11,8,33,0,0
3072032-rj82,18,9,10,3,4,12,4,21,4,11,10,1,11,0
3072026-rj76,18,2,16,5,7,25,5,3,2,0,6,11,0,0
3051002-rj2,0,0,2,0,8,20,3,6,1,5,3,28,15,0
3072014-rj64,5,5,13,5,0,2,2,11,5,10,9,19,0,0
3072022-rj72,0,0,18,0,0,26,0,1,0,0,13,17,0,0
3051023-rj23,8,6,22,1,2,5,3,0,0,0,6,22,0,0
3072015-rj65,4,4,4,0,0,1,3,0,7,9,2,31,0,0
3072034-rj84,12,0,0,0,0,0,0,26,0,0,26,0,0,0
3072011-rj61,0,1,0,0,0,0,0,0,0,0,26,36,0,0
3051006-rj6,0,0,4,1,0,9,0,0,1,5,19,19,1,0
3051031-rj31,6,2,11,1,0,16,3,0,2,4,9,3,1,0
3072013-rj63,0,0,0,0,0,0,1,18,0,0,20,19,0,0
3051005-rj5,14,6,6,4,5,7,5,0,1,1,3,0,0,0
3072029-rj79,0,0,18,0,0,0,0,0,0,0,18,16,0,0
3051015-rj15,1,0,10,2,2,4,3,0,1,3,17,6,2,0
3072002-rj52,2,3,0,0,0,0,3,4,6,3,12,18,0,0
3051050-rj50,0,0,1,0,0,1,0,14,2,2,14,14,0,0
3051026-rj26,10,7,1,0,11,2,0,0,0,14,1,0,1,0
3072006-rj56,0,0,15,2,0,3,1,1,0,0,23,0,0,0
3051032-rj32,11,0,7,3,16,4,0,0,0,2,0,0,2,0
3072048-rj98,7,2,1,3,7,4,0,3,2,3,5,6,0,0
3072050-rj100,23,4,0,0,0,16,0,0,0,0,0,0,0,0
3051036-rj36,0,0,0,0,0,0,0,0,0,0,28,13,0,0
3072028-rj78,0,0,16,0,0,0,1,5,0,16,0,0,0,0
3051007-rj7,0,0,0,0,3,3,3,0,1,1,13,11,0,0
3051004-rj4,0,0,0,0,0,0,1,2,4,2,21,5,0,0
3051041-rj41,2,0,9,1,0,0,0,0,1,0,0,21,1,0
3051014-rj14,0,0,1,1,4,6,1,0,0,0,6,15,0,0
3072016-rj66,0,0,0,0,0,0,0,1,0,0,0,25,0,0
3072024-rj74,0,0,0,0,0,14,3,3,3,0,0,0,0,0
3072047-rj97,7,0,0,0,0,0,2,0,0,13,0,0,0,0
3051018-rj18,0,0,0,1,1,4,1,0,0,0,3,3,1,0
3072044-rj94,0,0,0,0,0,0,0,0,0,0,0,13,0,0
3051008-rj8,0,0,0,0,0,0,0,0,0,0,7,5,0,0
3072012-rj62,11,0,0,0,0,0,0,0,0,0,0,0,0,0
3072030-rj80,8,0,1,0,0,0,0,1,0,0,0,0,0,0
3051035-rj35,0,0,0,0,0,0,0,0,0,0,0,10,0,0
3072031-rj81,0,0,0,0,0,0,0,0,0,9,0,0,0,0
3051011-rj11,0,0,2,0,2,0,0,0,0,2,0,0,0,0
