school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3072050-rj100,0.0,0.0,0.0,0.0,907.0,0.0,0.0,0.0,0.0,0.0
3051002-rj2,0.0,123.0,97.0,0.0,46.0,84.0,0.0,0.0,0.0,0.0
3051026-rj26,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,19.0
3072040-rj90,0.0,0.0,0.0,0.0,276.3333333333333,0.0,0.0,0.0,0.0,0.0
3072008-rj58,0.0,36.0,76.0,0.0,93.0,0.0,0.0,36.0,0.0,0.0
3072020-rj70,0.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0
3051015-rj15,0.0,10.0,0.0,39.0,108.0,10.0,52.16666666666667,0.0,0.0,0.0
3051014-rj14,0.0,0.0,0.0,32.0,168.0,0.0,0.0,5.0,0.0,0.0
3072031-rj81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0
3051007-rj7,0.0,0.0,0.0,17.0,158.0,0.0,0.0,0.0,0.0,0.0
3072026-rj76,0.0,8.0,0.0,0.0,128.66666666666666,8.0,15.116666666666667,0.0,0.0,0.0
3072022-rj72,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0
3051005-rj5,0.0,58.0,0.0,0.0,55.0,24.0,0.0,0.0,0.0,0.0
3051023-rj23,0.0,0.0,0.0,40.0,65.5,0.0,22.4,0.0,0.0,0.0
3051031-rj31,0.0,0.0,0.0,0.0,122.66666666666667,0.0,0.0,0.0,0.0,0.0
3051032-rj32,0.0,51.0,21.0,0.0,4.0,11.0,14.633333333333333,0.0,0.0,0.0
3072048-rj98,0.0,36.0,18.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0
3051018-rj18,0.0,0.0,0.0,12.0,76.0,0.0,0.0,0.0,0.0,0.0
3072032-rj82,4.0,1.0,0.0,0.0,25.25,0.0,0.0,6.333333333333333,0.0,0.0
3051050-rj50,0.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0
3072028-rj78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
3051011-rj11,0.0,0.0,0.0,0.0,0.0,0.0,4.633333333333333,0.0,0.0,0.0
3072006-rj56,0.0,0.0,0.0,0.0,0.0,0.0,3.8333333333333335,0.0,0.0,0.0
3072014-rj64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051006-rj6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
