school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
3051001-rj1,14,15,8,6,4,16,3,7,10,12,28,6,4,0
3072036-rj86,6,5,8,7,2,1,7,78,4,7,1,4,0,0
3051033-rj33,8,11,5,4,3,3,28,1,4,14,1,4,2,0
3072049-rj99,12,12,4,6,3,2,6,4,8,14,7,3,5,0
3051025-rj25,9,6,21,22,4,5,1,1,4,5,1,2,0,0
3072023-rj73,7,10,7,2,5,3,16,1,4,16,0,0,1,0
3051026-rj26,8,10,4,2,2,5,2,1,5,12,0,0,1,0
3072015-rj65,5,5,4,2,2,0,1,23,4,3,0,0,0,0
3072050-rj100,6,5,5,2,2,0,20,1,4,3,0,0,1,0
3051006-rj6,7,5,4,2,2,0,5,1,4,3,1,1,0,0
3051032-rj32,5,5,5,5,3,1,1,1,4,4,1,0,0,0
3072026-rj76,5,5,7,2,5,1,2,1,4,3,0,0,0,0
3051030-rj30,5,5,4,2,2,1,4,1,4,4,2,0,0,0
3072024-rj74,7,7,4,2,2,2,1,1,4,3,0,0,0,0
3051050-rj50,5,5,5,2,2,0,2,1,4,4,0,0,0,0
3072012-rj62,5,6,4,2,2,0,2,1,4,4,0,0,0,0
3072006-rj56,5,5,4,2,2,0,1,1,4,5,0,0,0,0
3072031-rj81,5,5,4,2,2,0,2,1,4,4,0,0,0,0
3072033-rj83,6,5,5,2,2,0,1,1,4,3,0,0,0,0
3072028-rj78,5,5,4,2,2,1,2,1,4,3,0,0,0,0
3072002-rj52,5,5,4,2,2,0,1,1,4,5,0,0,0,0
3051044-rj44,5,5,6,2,2,0,1,1,4,3,0,0,0,0
3051002-rj2,5,5,4,2,2,0,1,1,4,4,0,0,0,0
3051008-rj8,5,5,5,2,2,0,1,1,4,3,0,0,0,0
3072046-rj96,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072034-rj84,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072030-rj80,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3051004-rj4,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072048-rj98,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072047-rj97,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072040-rj90,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3051005-rj5,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072044-rj94,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072041-rj91,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072029-rj79,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072043-rj93,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072042-rj92,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3051023-rj23,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072027-rj77,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072025-rj75,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3051022-rj22,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072022-rj72,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072019-rj69,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072016-rj66,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072013-rj63,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072011-rj61,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072008-rj58,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072007-rj57,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072003-rj53,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3051049-rj49,5,5,4,2,2,0,1,1,4,3,0,0,0,0
