school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
3072036-rj86,0,0,0,0,0,2,2,5,0,1,0,5,16,0
3072013-rj63,0,0,0,0,0,0,2,4,0,0,12,8,4,0
3051050-rj50,2,0,0,0,0,0,0,0,0,4,3,1,0,0
3072032-rj82,0,0,0,0,0,5,0,0,0,2,2,0,0,0
3051005-rj5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
3051026-rj26,0,0,0,0,0,0,0,0,0,5,0,0,0,0
3051004-rj4,0,0,0,0,0,0,0,0,0,1,0,2,0,0
3051032-rj32,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3072042-rj92,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3072002-rj52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072024-rj74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072026-rj76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072028-rj78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
