school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
3072013-rj63,3,6,8,0,2,13,6,16,13,5,25,20,14,0
3072036-rj86,0,9,0,11,0,19,3,9,5,15,5,8,30,0
3072032-rj82,1,5,1,1,0,13,1,0,0,3,25,0,0,0
3072042-rj92,0,2,10,3,1,6,1,0,0,1,1,22,0,0
3051004-rj4,3,2,1,0,1,1,5,0,1,8,3,12,0,0
3051050-rj50,10,2,0,2,0,3,1,0,3,5,6,1,3,0
3072024-rj74,0,0,0,3,0,0,0,0,0,0,3,19,0,0
3051005-rj5,9,1,0,0,0,0,4,3,0,1,2,3,0,0
3072002-rj52,0,0,0,0,0,0,0,0,0,0,2,20,0,0
3072026-rj76,0,0,0,0,1,0,0,0,0,0,0,13,0,0
3051026-rj26,0,0,0,0,0,0,0,0,0,8,0,0,0,0
3072028-rj78,0,2,0,0,0,3,0,0,0,0,0,0,0,0
3051032-rj32,0,0,0,1,0,0,0,0,0,0,0,0,1,0
