school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3072032-rj82,0.0,1.0,0.0,0.0,0.0,2.0,21.0,2.0,0.0,0.0
3072024-rj74,0.0,1.0,0.0,2.0,20.0,0.0,1.0,1.0,0.0,0.0
3051006-rj6,0.0,0.0,0.0,0.0,15.0,0.0,0.0,8.0,0.0,0.0
3051023-rj23,0.0,0.0,0.0,0.0,14.0,0.0,0.0,9.0,0.0,0.0
3072026-rj76,0.0,3.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0
3051050-rj50,0.0,0.0,0.0,0.0,5.0,0.0,10.0,3.0,0.0,0.0
3072040-rj90,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
3072044-rj94,3.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
3051013-rj13,0.0,0.0,0.0,0.0,13.5,0.0,2.0,0.0,0.0,0.0
3072043-rj93,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0
3051032-rj32,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0
3051047-rj47,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
3051031-rj31,0.0,0.0,0.0,0.0,2.0,0.0,8.0,1.0,0.0,0.0
3051002-rj2,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,2.0
3072022-rj72,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0
3072041-rj91,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
3072050-rj100,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
3072036-rj86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
3072030-rj80,0.0,0.0,0.0,0.0,2.0,0.0,1.5,0.0,0.0,0.0
3051036-rj36,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3051049-rj49,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051026-rj26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3072015-rj65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3051041-rj41,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3051035-rj35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3051011-rj11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
