school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3072006-rj56,0.0,0.0,0.0,0.0,762.0,0.0,0.0,0.0,0.0,0.0
3072020-rj70,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,0.0,0.0
3051031-rj31,0.0,0.0,0.0,6.0,369.0,0.0,23.483333333333334,0.0,0.0,0.0
3072028-rj78,0.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0
3072035-rj85,0.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,0.0,0.0
3072023-rj73,0.0,0.0,0.0,0.0,3.0,0.0,2.7499999999999996,87.5,0.0,84.0
3051015-rj15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0
3072032-rj82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0
3051001-rj1,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0
3072030-rj80,0.0,34.0,34.0,0.0,0.0,34.0,0.0,34.0,0.0,0.0
3051050-rj50,0.0,0.0,0.0,0.0,110.0,0.0,20.500000000000004,0.0,0.0,0.0
3072022-rj72,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0
3051011-rj11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0
3051032-rj32,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
3072033-rj83,71.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3051044-rj44,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0
3072009-rj59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0
3072002-rj52,0.0,0.0,0.0,0.0,5.0,0.0,0.0,49.0,0.0,11.0
3072050-rj100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
3051027-rj27,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,10.0
3072018-rj68,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0
3051022-rj22,0.0,0.0,0.0,0.0,0.0,0.0,19.466666666666665,10.333333333333334,0.0,0.0
3072044-rj94,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
3051002-rj2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
3051049-rj49,0.0,0.0,0.0,0.0,2.0,0.0,16.28333333333333,0.0,0.0,0.0
3051006-rj6,0.0,0.0,0.0,0.0,0.0,0.0,13.883333333333333,0.0,0.0,0.0
3051026-rj26,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0
3072027-rj77,0.0,0.0,0.0,0.0,0.0,0.0,9.8875,0.0,0.0,0.0
3072026-rj76,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
3051010-rj10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
3072048-rj98,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
3072024-rj74,0.0,0.0,0.0,0.0,0.0,0.0,4.158333333333333,0.0,0.0,0.0
3051008-rj8,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
3051004-rj4,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051041-rj41,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072025-rj75,0.0,0.0,0.0,0.0,0.0,0.0,3.566666666666667,0.0,0.0,0.0
3072029-rj79,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333326,0.0,0.0,0.0
3072036-rj86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072040-rj90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072046-rj96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072047-rj97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
