school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
3072044-rj94,0,0,2,0,0,2,8,13,0,0,14,0,0,0
3072002-rj52,0,0,0,0,0,0,0,0,0,23,0,0,0,0
3072050-rj100,0,0,11,0,1,0,0,10,0,0,0,0,0,0
3072023-rj73,0,0,18,4,0,0,0,0,0,0,0,0,0,0
3072014-rj64,0,0,0,0,0,0,0,17,0,0,4,0,0,0
3072015-rj65,0,0,0,0,0,0,0,0,0,5,14,0,0,0
3072032-rj82,0,0,15,1,0,0,0,0,0,0,1,0,0,0
3072046-rj96,0,0,0,0,16,0,0,0,0,0,0,0,0,0
3051032-rj32,0,0,14,0,0,0,0,0,0,0,0,1,0,0
3072031-rj81,0,0,0,0,14,0,0,0,0,0,1,0,0,0
3051001-rj1,0,0,5,0,0,0,0,1,0,9,0,0,0,0
3072026-rj76,0,0,6,0,0,0,0,0,0,8,0,0,0,0
3072025-rj75,0,0,0,0,0,0,0,0,0,14,0,0,0,0
3072024-rj74,0,0,2,0,0,0,0,0,0,11,0,0,0,0
3051006-rj6,0,0,0,0,0,0,0,0,0,12,0,0,0,0
3051024-rj24,0,0,0,0,8,0,0,0,0,0,0,0,0,0
3051008-rj8,0,0,5,0,0,1,0,0,0,0,0,0,0,0
3072028-rj78,0,0,0,0,0,0,4,0,0,0,0,0,0,0
3051047-rj47,0,0,3,0,0,0,0,0,0,0,0,0,0,0
3051036-rj36,0,0,0,0,3,0,0,0,0,0,0,0,0,0
3051013-rj13,0,0,0,0,0,0,2,0,0,0,0,0,0,0
3051028-rj28,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3051027-rj27,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3051041-rj41,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3051040-rj40,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3051026-rj26,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3051030-rj30,0,0,0,0,0,0,2,0,0,0,0,0,0,0
3051050-rj50,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3072043-rj93,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3072036-rj86,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3051010-rj10,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3051031-rj31,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3051004-rj4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072047-rj97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072042-rj92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072034-rj84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072030-rj80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072048-rj98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072029-rj79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072016-rj66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072027-rj77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072018-rj68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051018-rj18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051023-rj23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072012-rj62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072008-rj58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072007-rj57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051002-rj2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051049-rj49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051045-rj45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
