school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
3072036-rj86,6,27,41,27,6,34,66,86,55,55,32,49,30,0
3072026-rj76,61,8,72,38,31,42,18,15,35,23,37,36,0,0
3072032-rj82,44,26,51,10,7,28,35,32,38,50,36,17,19,0
3072008-rj58,11,13,29,5,5,32,52,17,31,38,74,52,13,0
3072023-rj73,39,28,56,37,7,16,37,4,30,63,11,26,7,0
3051002-rj2,24,27,16,18,22,35,37,22,34,42,31,32,18,0
3072002-rj52,28,20,34,6,3,15,54,25,16,50,43,48,5,0
3051032-rj32,25,24,34,32,28,30,11,7,21,29,22,26,27,0
3072030-rj80,45,17,26,8,3,12,58,2,49,10,20,26,0,0
3072042-rj92,54,15,53,10,4,8,41,2,38,5,1,23,1,0
3072024-rj74,56,10,46,17,3,33,4,4,7,43,3,22,0,0
3072044-rj94,9,19,29,7,6,28,18,40,11,21,30,16,12,0
3051001-rj1,16,19,24,7,6,18,28,28,17,26,35,11,7,0
3072040-rj90,26,12,23,2,3,36,1,26,23,6,45,32,0,0
3051026-rj26,38,34,14,18,14,23,13,10,12,31,11,5,11,0
3072050-rj100,30,12,30,23,8,24,31,14,23,21,0,16,1,0
3051036-rj36,34,11,8,4,7,5,6,21,28,15,37,39,14,0
3072015-rj65,28,16,21,4,3,4,34,23,14,26,20,31,1,0
3072028-rj78,6,10,41,2,2,52,22,6,5,22,37,17,1,0
3072001-rj51,5,5,31,2,2,30,35,29,6,21,25,30,0,0
3051006-rj6,8,8,17,7,2,13,39,1,26,48,24,21,4,0
3072013-rj63,25,13,12,2,4,13,7,33,17,8,27,37,14,0
3051031-rj31,14,15,26,13,3,36,23,14,11,22,18,6,4,0
3051005-rj5,31,17,16,15,11,15,33,8,7,20,12,11,7,0
3072006-rj56,5,6,19,4,2,20,11,35,4,17,38,36,1,0
3051004-rj4,38,17,17,4,5,2,12,7,27,25,26,12,1,0
3051033-rj33,31,12,12,5,5,5,34,6,23,19,29,4,6,0
3051023-rj23,24,14,26,5,5,19,24,2,21,18,7,22,1,0
3072043-rj93,36,8,40,14,2,7,26,1,35,13,0,0,0,0
3072029-rj79,20,5,22,2,2,33,37,1,4,3,18,31,0,0
3051013-rj13,18,15,40,22,2,21,18,4,9,7,4,11,4,0
3051022-rj22,15,30,33,13,7,0,2,6,32,27,5,0,3,0
3051050-rj50,21,13,19,6,2,19,13,15,10,18,14,15,6,0
3072003-rj53,5,5,7,2,2,0,52,1,42,5,24,22,0,0
3072025-rj75,17,15,23,4,4,4,20,8,12,30,8,10,11,0
3051049-rj49,13,25,17,7,14,7,19,2,5,32,3,17,0,0
3051015-rj15,19,9,15,5,9,5,33,3,8,25,17,6,2,0
3051025-rj25,31,6,27,34,4,18,7,2,4,17,2,2,0,0
3072022-rj72,5,7,23,3,2,36,1,11,6,4,27,17,0,0
3072033-rj83,29,8,37,2,3,2,2,3,22,16,7,4,6,0
3072046-rj96,17,18,4,2,19,1,19,17,19,11,7,1,0,0
3051030-rj30,45,9,7,3,4,21,31,1,5,5,3,0,1,0
3072014-rj64,10,10,17,7,2,2,3,22,9,13,21,19,0,0
3051008-rj8,29,7,19,7,3,23,14,1,5,6,8,8,0,0
3072031-rj81,20,9,4,2,16,0,3,4,34,15,11,8,1,0
3051018-rj18,25,9,17,10,9,8,3,15,8,6,7,7,1,0
3072034-rj84,33,5,4,2,2,11,1,27,4,3,26,0,0,0
3051027-rj27,13,7,19,8,4,7,13,2,10,22,3,7,2,0
3072048-rj98,20,11,21,5,10,5,12,5,7,8,5,8,0,0
3051011-rj11,9,11,10,4,8,3,6,10,4,38,2,0,4,0
