school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3051032-rj32,2,22,11,0,31,18,26,4,0,0
3051002-rj2,0,15,10,0,36,12,0,21,0,3
3072026-rj76,0,7,6,0,36,4,28,10,0,0
3072032-rj82,3,3,0,0,29,2,21,16,0,0
3051006-rj6,0,0,0,0,16,0,4,39,12,2
3051026-rj26,0,12,0,0,18,0,12,11,11,4
3051031-rj31,2,3,0,2,34,2,16,4,0,0
3072028-rj78,0,0,0,0,48,0,0,12,0,0
3072023-rj73,0,1,0,0,7,0,26,18,0,2
3051023-rj23,0,3,0,4,18,3,12,9,0,0
3051025-rj25,0,0,0,0,17,0,26,0,0,0
3072008-rj58,0,2,2,0,29,0,0,9,0,0
3051015-rj15,0,4,2,4,4,3,10,15,0,0
3051050-rj50,0,0,0,0,16,0,13,11,0,0
3072050-rj100,0,6,0,0,23,0,8,1,0,2
3051049-rj49,0,2,0,0,2,0,6,23,3,2
3072024-rj74,0,1,0,2,20,0,7,7,0,0
3051036-rj36,0,5,4,0,6,5,0,7,6,3
3072040-rj90,0,0,0,0,35,1,0,0,0,0
3051024-rj24,0,16,4,0,0,14,0,0,0,0
3072031-rj81,0,14,0,0,0,8,0,10,0,0
3072002-rj52,0,0,0,1,8,0,0,17,0,6
3072022-rj72,0,0,0,0,30,0,0,1,0,0
3051022-rj22,0,3,0,0,0,0,12,16,0,0
3072020-rj70,0,0,0,0,31,0,0,0,0,0
3072029-rj79,0,0,0,0,28,0,2,0,0,0
3072006-rj56,0,1,0,6,17,1,2,2,0,0
3072046-rj96,0,17,5,0,3,3,0,0,0,0
3051008-rj8,0,0,0,3,21,0,3,0,0,0
3051013-rj13,0,0,0,0,21,0,5,0,0,0
3072044-rj94,3,0,0,3,19,0,0,0,0,0
3072030-rj80,0,1,1,0,12,1,6,2,0,0
3072018-rj68,0,0,0,0,23,0,0,0,0,0
3072027-rj77,0,0,0,0,12,0,9,1,0,0
3072048-rj98,0,6,4,0,5,4,0,2,0,0
3051011-rj11,0,0,0,0,1,0,2,18,0,0
3051014-rj14,0,4,2,4,5,4,0,1,0,0
3051030-rj30,0,0,0,0,20,0,0,0,0,0
3051001-rj1,0,3,0,0,10,2,0,4,0,0
3072047-rj97,6,1,1,0,6,0,0,5,0,0
3072035-rj85,0,0,0,0,19,0,0,0,0,0
3072043-rj93,0,0,0,0,3,0,13,2,0,0
3051044-rj44,0,0,0,0,12,0,0,2,1,2
3072025-rj75,0,0,0,0,0,0,2,13,0,2
3051005-rj5,0,4,0,0,8,2,2,0,0,0
3072033-rj83,3,0,0,0,3,0,0,9,0,0
3051007-rj7,0,4,3,2,3,3,0,0,0,0
3051047-rj47,0,0,0,0,13,0,2,0,0,0
3051018-rj18,0,3,4,2,3,2,0,0,0,0
3072036-rj86,0,0,0,0,9,0,0,5,0,0
