school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4122100-tg300,0,0,0,0,2,0,2,3,1,0,0,0,0,0
4231036-tg136,0,0,2,1,0,0,0,0,0,0,0,0,0,0
4152002-tg202,0,0,1,0,0,0,0,0,2,0,0,0,0,0
4112043-tg243,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4231019-tg119,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4202059-tg259,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4202034-tg234,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4192099-tg299,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4152031-tg231,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4141045-tg145,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4173074-tg74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4152072-tg272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202032-tg232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202057-tg257,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4152008-tg208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4141009-tg109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231046-tg146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231082-tg182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231084-tg184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
