school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4122100-tg300,5,5,12,2,9,4,14,4,6,6,7,12,1,0
4202003-tg203,0,0,2,0,5,0,2,2,2,0,2,8,0,0
4202034-tg234,0,0,2,0,6,4,0,2,0,4,0,0,0,0
4202004-tg204,0,0,0,0,10,0,0,0,0,6,0,1,0,0
4152012-tg212,0,0,1,0,7,0,0,4,0,1,0,0,0,0
4231084-tg184,0,0,0,0,8,0,0,4,0,0,0,0,0,0
4152031-tg231,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4152072-tg272,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4152092-tg292,0,0,2,0,1,0,0,0,0,0,0,0,0,0
4152038-tg238,1,0,1,0,0,0,0,0,0,1,0,0,0,0
4202058-tg258,0,0,2,0,1,0,0,0,0,0,0,0,0,0
4231036-tg136,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4173074-tg74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4141009-tg109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202059-tg259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4221067-tg167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231046-tg146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231082-tg182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4141045-tg145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
