school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4202004-tg204,27,30,12,9,21,8,4,27,7,25,13,23,6,0
4141009-tg109,6,3,18,7,7,2,1,17,11,4,6,21,3,0
4202058-tg258,29,16,9,5,3,5,3,3,11,8,4,7,2,0
4231036-tg136,8,9,21,10,4,3,6,5,1,5,5,3,8,0
4152013-tg213,5,8,1,0,1,4,5,10,8,3,6,16,0,0
4152012-tg212,2,4,5,1,7,2,6,10,3,5,1,7,9,0
4231084-tg184,8,0,2,1,8,0,1,10,3,0,0,1,0,0
4141008-tg108,14,7,0,0,2,0,0,1,1,3,2,0,1,0
4221040-tg140,4,2,0,0,1,11,2,8,0,0,2,0,1,0
4202003-tg203,0,2,2,0,5,0,4,2,2,0,3,8,1,0
4221067-tg167,1,1,0,0,0,3,1,0,0,0,0,0,0,0
4183023-tg23,0,0,1,1,0,1,0,0,0,0,0,1,1,0
4141045-tg145,0,0,2,0,0,0,0,0,1,0,0,1,0,0
4231046-tg146,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4231082-tg182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
