school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231084-tg184,0.0,3.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
4231036-tg136,0.0,1.0,0.0,0.0,2.0,0.0,10.2,2.0,0.0,0.0
4152012-tg212,0.0,8.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0
4202034-tg234,5.0,1.8,1.0,0.0,4.333333333333333,1.5,0.0,0.0,0.0,0.0
4122100-tg300,1.0,2.1666666666666665,2.0,0.0,1.75,1.75,1.0,2.0,0.0,0.0
4202004-tg204,0.0,4.0,1.0,0.0,0.0,3.0,0.0,2.5,0.0,0.0
4141009-tg109,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
4152072-tg272,0.0,2.0,0.0,0.0,2.0,1.0,1.3333333333333333,1.0,0.0,0.0
4152092-tg292,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
4192081-tg281,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
4202003-tg203,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4152038-tg238,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
4231058-tg158,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
4231082-tg182,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
4202058-tg258,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4221067-tg167,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
