school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231084-tg184,0.0,44.666666666666664,124.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0
4202034-tg234,71.5,13.2,25.0,0.0,51.0,22.0,0.0,0.0,0.0,0.0
4122100-tg300,6.0,4.166666666666667,1.5,0.0,6.0,9.75,80.0,12.333333333333334,0.0,0.0
4152012-tg212,0.0,4.0,0.0,0.0,0.0,4.0,60.0,0.0,0.0,0.0
4152038-tg238,0.0,0.0,0.0,0.0,1.0,31.0,0.0,26.0,0.0,0.0
4202004-tg204,0.0,14.666666666666666,8.0,0.0,0.0,7.0,0.0,17.0,0.0,0.0
4192081-tg281,26.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0
4231036-tg136,0.0,0.0,0.0,0.0,5.0,0.0,14.713333333333333,5.0,0.0,0.0
4141009-tg109,0.0,3.0,0.0,0.0,0.0,0.0,10.466666666666667,0.0,0.0,0.0
4152072-tg272,0.0,2.0,0.0,0.0,6.0,2.0,2.1166666666666667,0.0,0.0,0.0
4202003-tg203,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
4152092-tg292,0.0,2.5,0.0,0.0,1.5,2.0,4.65,0.0,0.0,0.0
4231058-tg158,0.0,0.0,0.0,0.0,0.3333333333333333,3.0,0.0,0.0,0.0,0.0
4231082-tg182,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4221067-tg167,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4202058-tg258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
