school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4183023-tg23,4,3,2,0,6,3,5,3,3,2
4231036-tg136,1,3,1,1,9,1,10,1,1,1
4231058-tg158,1,5,2,0,4,1,1,4,1,0
4141009-tg109,0,2,1,1,3,3,6,1,0,0
4152012-tg212,0,3,0,0,4,0,0,2,1,0
4221040-tg140,0,0,1,0,2,1,0,3,1,0
4202010-tg210,0,4,0,0,2,0,0,0,0,0
4202004-tg204,0,0,0,0,0,1,3,0,0,0
4221017-tg117,1,3,0,0,0,0,0,0,0,0
4141008-tg108,0,0,1,0,0,1,0,0,0,0
4152002-tg202,1,0,0,0,0,1,0,0,0,0
4221095-tg195,1,0,0,0,0,0,0,1,0,0
4152013-tg213,0,0,0,0,1,0,0,0,0,0
4231046-tg146,0,0,0,0,0,1,0,0,0,0
4231079-tg179,0,1,0,0,0,0,0,0,0,0
4231084-tg184,0,0,0,0,0,0,0,1,0,0
