school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231036-tg136,1.0,2.3333333333333335,3.0,1.0,6.222222222222222,1.0,7.7,3.0,2.0,4.0
4122100-tg300,3.5,2.6,2.0,0.0,4.0,2.0,3.7,2.3333333333333335,0.0,0.0
4173074-tg74,1.6666666666666667,1.5,1.0,0.0,2.0,1.0,5.0,2.6666666666666665,1.0,3.0
4152031-tg231,0.0,1.5,1.6666666666666667,0.0,2.0,4.0,2.75,4.6,0.0,0.0
4141009-tg109,0.0,1.0,1.0,2.0,2.3333333333333335,1.3333333333333333,5.0,2.0,0.0,0.0
4231058-tg158,1.0,1.0,1.5,0.0,1.75,1.0,2.0,1.25,1.0,0.0
4152092-tg292,1.0,1.5,0.0,0.0,2.0,0.0,1.6666666666666667,2.0,0.0,0.0
4152012-tg212,0.0,2.6666666666666665,0.0,0.0,1.5,0.0,0.0,2.0,1.0,0.0
4192081-tg281,0.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0
4202034-tg234,0.0,1.5,0.0,0.0,3.0,1.3333333333333333,0.0,0.0,0.0,1.0
4152038-tg238,0.0,0.0,0.0,1.0,1.0,0.0,3.5,1.0,0.0,0.0
4202004-tg204,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
4202032-tg232,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4231084-tg184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
4173079-tg79,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
4152002-tg202,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4183023-tg23,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
4231046-tg146,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
