school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4183023-tg23,15.75,74.0,25.5,0.0,92.33333333333333,136.33333333333334,204.0,212.33333333333334,27.333333333333332,12.0
4231036-tg136,3.0,53.666666666666664,39.0,6.0,103.55555555555556,40.0,22.241666666666667,31.0,12.0,35.0
4141009-tg109,0.0,16.5,4.0,10.0,10.0,11.0,49.175000000000004,35.0,0.0,0.0
4152012-tg212,0.0,28.333333333333332,0.0,0.0,8.75,0.0,0.0,42.5,9.0,0.0
4221040-tg140,0.0,0.0,15.0,0.0,27.0,15.0,0.0,24.333333333333332,5.0,0.0
4152013-tg213,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
4231058-tg158,0.0,0.0,1.5,0.0,6.5,0.0,2.0999999999999996,3.0,4.0,0.0
4221095-tg195,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4202010-tg210,0.0,0.5,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
4152002-tg202,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4202004-tg204,0.0,0.0,0.0,0.0,0.0,2.0,3.805555555555556,0.0,0.0,0.0
4221017-tg117,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4141008-tg108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4231046-tg146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4231079-tg179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4231084-tg184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
