school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4183023-tg23,7,5,6,7,0,4,9,14,2,3,28,18,0,0
4202004-tg204,5,1,18,13,14,13,3,0,4,4,3,16,0,0
4141009-tg109,2,3,23,11,3,5,6,9,3,2,6,19,1,0
4152012-tg212,12,2,12,1,11,1,9,0,3,2,7,2,3,0
4231036-tg136,7,2,4,3,1,18,2,5,1,3,0,9,2,0
4231084-tg184,2,1,17,1,0,0,0,13,4,0,0,9,0,0
4231057-tg157,2,2,1,0,0,0,1,12,2,0,2,17,1,0
4141088-tg188,6,7,4,2,2,1,1,1,5,3,0,0,0,0
4141045-tg145,3,0,0,0,0,10,0,0,0,6,0,0,0,0
4231082-tg182,0,0,0,0,0,0,0,15,0,0,0,0,0,0
4152013-tg213,0,0,0,0,0,0,0,2,0,0,10,0,0,0
4152002-tg202,8,0,1,0,0,0,0,0,0,0,0,0,0,0
4141008-tg108,0,0,0,0,1,0,0,0,7,0,0,0,0,0
4221040-tg140,1,0,0,0,0,3,1,0,0,2,0,0,0,0
