school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4152031-tg231,1,11,2,3,14,2,4,2,0,0
4231036-tg136,0,0,0,5,20,0,13,1,0,0
4122100-tg300,0,5,3,4,1,2,0,1,0,0
4141009-tg109,0,0,0,0,2,0,14,0,0,0
4202034-tg234,1,5,0,4,5,1,0,0,0,0
4202004-tg204,0,4,0,0,5,3,3,0,0,0
4152072-tg272,0,0,1,0,0,0,10,0,0,0
4173074-tg74,1,0,0,4,0,0,1,1,0,0
4152012-tg212,0,1,0,0,1,0,0,0,0,0
4152038-tg238,0,0,0,0,2,0,0,0,0,0
4173079-tg79,0,0,0,1,0,0,0,1,0,0
4202003-tg203,0,1,1,0,0,0,0,0,0,0
4231058-tg158,0,0,0,1,0,0,0,0,0,0
