school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4152031-tg231,4.0,161.5,10.0,4.0,188.5,1.0,5.383333333333334,1.5,0.0,0.0
4152072-tg272,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0
4202004-tg204,0.0,94.0,0.0,0.0,52.5,0.0,2.933333333333333,0.0,0.0,0.0
4231036-tg136,0.0,0.0,0.0,23.666666666666668,65.0,0.0,5.776666666666666,0.0,0.0,0.0
4173074-tg74,7.0,0.0,0.0,21.5,0.0,0.0,2.3166666666666664,0.0,0.0,0.0
4122100-tg300,0.0,6.333333333333333,2.25,10.5,8.0,3.0,0.0,0.0,0.0,0.0
4202034-tg234,3.0,0.0,0.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0
4202003-tg203,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4231058-tg158,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
4152038-tg238,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
4141009-tg109,0.0,0.0,0.0,0.0,0.0,0.0,5.904166666666667,0.0,0.0,0.0
4173079-tg79,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
4152012-tg212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
