school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4231036-tg136,30,34,20,7,7,4,3,4,10,12,2,1,2,0
4122100-tg300,7,9,4,2,3,0,8,20,18,12,7,8,0,0
4221067-tg167,8,15,6,4,4,13,7,8,7,11,5,6,3,0
4152072-tg272,12,9,13,4,3,0,9,7,14,3,6,4,0,0
4231084-tg184,6,5,4,2,2,0,21,1,15,3,0,3,0,0
4202059-tg259,21,9,4,2,2,2,2,1,7,6,1,0,0,0
4202032-tg232,7,9,14,3,3,0,1,2,5,3,0,0,0,0
4112005-tg205,6,7,4,2,3,0,1,1,5,3,0,2,0,0
4152002-tg202,9,5,7,2,2,0,1,1,4,3,0,0,0,0
4152038-tg238,7,5,4,2,2,0,1,1,4,3,0,0,0,0
4141009-tg109,5,5,5,2,2,0,1,1,4,3,0,0,0,0
4231082-tg182,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4231058-tg158,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4231057-tg157,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4231046-tg146,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4231027-tg127,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4141090-tg190,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4202058-tg258,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4152092-tg292,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4202057-tg257,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4202034-tg234,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4152008-tg208,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4152012-tg212,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4202004-tg204,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4202003-tg203,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4173074-tg74,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4202007-tg207,5,5,4,2,2,0,1,1,4,3,0,0,0,0
