school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4221067-tg167,2.0,0.0,0.0,1.0,6.25,0.0,0.0,1.0,0.0,0.0
4141008-tg108,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4141012-tg112,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
4231023-tg123,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
4152002-tg202,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4152012-tg212,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4183023-tg23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4221018-tg118,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4221068-tg168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4231036-tg136,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4231046-tg146,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
