school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4152013-tg213,0,3,1,0,1,1,13,3,2,5,10,5,1,0
4231036-tg136,3,8,16,2,0,2,1,0,0,5,3,2,0,0
4231051-tg151,10,12,2,0,1,0,1,0,5,2,1,0,0,0
4221034-tg134,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4141009-tg109,0,0,0,1,0,1,7,2,0,0,0,0,4,0
4152012-tg212,1,1,1,0,0,0,0,6,0,0,0,0,0,0
4231027-tg127,0,0,0,0,0,2,2,0,1,1,2,0,1,0
4231057-tg157,0,0,3,3,0,0,0,0,0,0,0,0,0,0
4152008-tg208,1,1,2,0,1,0,0,0,0,0,0,0,0,0
4202010-tg210,3,0,0,0,0,0,0,0,1,0,0,0,0,0
4202058-tg258,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4221074-tg174,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4231084-tg184,0,0,0,0,0,0,0,0,0,1,0,0,0,0
