school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4152038-tg238,23,14,27,24,4,26,12,1,0,13,18,23,2,0
4231058-tg158,16,30,10,5,4,9,5,11,8,9,4,7,0,0
4152031-tg231,32,14,11,3,1,2,4,0,1,6,3,21,1,0
4231051-tg151,39,1,22,4,4,2,3,1,0,4,1,12,2,0
4231036-tg136,9,9,18,10,3,16,3,6,1,10,4,1,1,0
4152082-tg282,27,1,1,0,0,0,3,7,0,38,2,0,0,0
4152012-tg212,6,8,0,1,1,0,8,5,4,8,4,5,4,0
4141009-tg109,4,3,3,1,0,3,9,4,15,7,2,0,1,0
4202004-tg204,19,8,9,8,0,4,0,0,0,0,0,0,0,0
4231027-tg127,0,4,0,2,0,1,5,5,3,6,10,7,1,0
4221067-tg167,4,2,0,1,0,3,1,6,8,4,8,2,3,0
4231057-tg157,0,0,30,2,0,1,0,0,0,0,0,0,0,0
4231046-tg146,9,2,3,0,2,1,9,0,1,2,1,3,0,0
4202034-tg234,5,6,0,0,0,0,3,2,3,0,1,0,0,0
4192081-tg281,0,0,0,0,0,0,0,11,0,0,0,0,0,0
4231084-tg184,0,0,0,0,0,0,0,1,5,2,0,0,0,0
4122100-tg300,0,1,0,0,0,3,0,0,0,1,0,0,0,0
4202003-tg203,1,1,0,0,1,0,0,0,0,1,0,0,0,0
4232045-tg245,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4141035-tg135,0,0,0,0,0,0,3,0,0,0,0,0,0,0
