school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231036-tg136,11.0,59.0,42.0,0.0,28.8,59.0,15.483333333333333,1.0,0.0,0.0
4221026-tg126,2.5,7.0,0.0,0.0,6.142857142857143,0.0,4.066666666666666,7.0,14.0,0.0
4141009-tg109,8.0,1.0,0.0,0.0,0.0,0.0,25.603333333333335,0.0,0.0,0.0
4231058-tg158,0.0,16.0,0.0,0.0,3.25,0.0,2.033333333333333,0.0,0.0,0.0
4202010-tg210,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
4141008-tg108,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4231046-tg146,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4221068-tg168,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
4221017-tg117,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4221040-tg140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4152012-tg212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4202003-tg203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4221067-tg167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4231027-tg127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
