school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4202058-tg258,56,16,8,2,8,2,2,4,8,7,7,4,7,0
4231036-tg136,8,15,21,7,0,3,7,1,3,2,11,2,1,0
4202003-tg203,2,0,3,0,0,2,16,21,18,5,2,6,0,0
4141008-tg108,23,10,4,0,11,2,4,2,2,5,5,1,5,0
4152012-tg212,6,11,2,1,0,1,16,7,3,6,2,2,1,0
4152013-tg213,3,11,1,0,0,0,1,0,1,5,3,14,1,0
4202004-tg204,11,6,1,0,1,1,1,2,0,8,1,4,0,0
4221040-tg140,9,4,4,0,0,6,3,2,0,3,2,0,0,0
4231046-tg146,4,4,0,1,1,0,0,2,5,0,1,2,0,0
4231082-tg182,0,0,0,0,2,0,1,0,2,6,3,3,0,0
4152002-tg202,1,0,0,0,1,1,1,0,4,2,0,6,0,0
4152023-tg223,1,1,0,0,0,0,0,0,0,0,0,1,1,0
4141045-tg145,0,0,0,0,0,0,0,0,0,0,0,0,2,0
4202009-tg209,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4231084-tg184,0,0,0,0,0,0,1,0,0,0,0,0,0,0
