school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231036-tg136,3,3,1,0,1,3,8,3,0,0
4221040-tg140,0,0,0,4,3,0,0,1,0,0
4202003-tg203,0,2,1,0,0,3,0,0,0,0
4231082-tg182,1,1,0,0,1,1,0,1,0,0
4152002-tg202,0,1,1,0,0,1,0,0,0,0
4202058-tg258,0,1,0,0,1,0,0,0,0,0
4141008-tg108,0,0,0,0,1,0,0,0,0,0
4152012-tg212,0,1,0,0,0,0,0,0,0,0
4202004-tg204,0,0,0,0,1,0,0,0,0,0
4231043-tg143,0,1,0,0,0,0,0,0,0,0
4231084-tg184,0,1,0,0,0,0,0,0,0,0
