school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231082-tg182,6.0,1.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0
4202034-tg234,0.0,2.5,1.0,2.25,5.0,3.0,0.0,0.0,0.0,0.0
4122100-tg300,0.0,4.714285714285714,1.5,2.5,1.0,1.3333333333333333,1.0,1.0,0.0,0.0
4231036-tg136,1.3333333333333333,1.3333333333333333,1.0,0.0,2.0,1.0,4.25,1.3333333333333333,0.0,0.0
4192081-tg281,1.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
4152031-tg231,0.0,2.0,0.0,0.0,2.0,1.0,1.5,1.0,0.0,0.0
4202003-tg203,0.0,1.5,1.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0
4152002-tg202,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4202058-tg258,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4173074-tg74,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4152012-tg212,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4152092-tg292,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4202004-tg204,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4231084-tg184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
