school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231082-tg182,196.0,9.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0
4202034-tg234,0.0,11.5,5.0,62.25,43.0,11.5,0.0,0.0,0.0,0.0
4122100-tg300,0.0,7.714285714285714,5.0,38.0,4.0,2.8333333333333335,60.0,2.0,0.0,0.0
4231036-tg136,7.0,2.3333333333333335,5.0,0.0,54.0,1.6666666666666667,5.9937499999999995,18.0,0.0,0.0
4202003-tg203,0.0,15.5,28.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
4192081-tg281,1.0,10.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
4152031-tg231,0.0,1.0,0.0,0.0,1.5,1.0,2.55,2.0,0.0,0.0
4152002-tg202,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4173074-tg74,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4202004-tg204,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
4152012-tg212,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4152092-tg292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4202058-tg258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4231084-tg184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
