school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4152031-tg231,14,9,6,1,0,1,0,10,6,2,1,2,15,0
4231036-tg136,8,13,9,6,0,2,0,0,1,2,1,0,0,0
4122100-tg300,2,2,2,0,7,2,1,4,5,2,6,2,2,0
4202034-tg234,9,1,3,2,0,1,0,0,4,0,0,0,0,0
4152012-tg212,4,0,3,0,3,0,0,3,0,0,0,3,0,0
4202004-tg204,4,0,3,0,0,0,1,0,0,0,0,0,0,0
4112043-tg243,2,0,1,0,0,0,3,0,0,0,0,0,0,0
4231046-tg146,2,1,0,0,0,0,1,1,0,0,0,0,0,0
4231084-tg184,0,0,0,0,0,0,2,0,0,0,0,0,0,0
4152092-tg292,1,0,0,0,0,0,0,0,0,0,0,0,0,0
