school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4122100-tg300,0.0,66.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0
4232044-tg244,0.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0
4231082-tg182,0.0,0.0,0.0,0.0,0.0,34.0,0.0,34.0,0.0,0.0
4232045-tg245,0.0,7.0,7.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0
4231046-tg146,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4152031-tg231,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
4231036-tg136,0.0,0.5,0.0,0.0,0.0,1.0,1.2166666666666666,0.0,0.0,0.0
4152012-tg212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4152038-tg238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4141009-tg109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4202034-tg234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
