school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4231058-tg158,4,3,1,1,0,1,0,0,0,0,0,0,0,0
4231084-tg184,0,0,0,0,0,0,0,0,5,1,0,0,0,0
4152012-tg212,0,0,1,0,0,0,0,0,0,0,0,4,0,0
4231036-tg136,0,0,2,1,0,0,0,0,0,0,0,1,0,0
4202018-tg218,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4152008-tg208,0,0,0,1,1,0,0,0,0,0,0,0,0,0
4183023-tg23,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4202058-tg258,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4202009-tg209,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4141035-tg135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4221026-tg126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4221034-tg134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231019-tg119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231051-tg151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231057-tg157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4152002-tg202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4141008-tg108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
