school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4231058-tg158,47,31,39,22,23,17,11,17,9,15,6,11,7,0
4152012-tg212,9,9,12,4,13,0,16,15,18,15,7,10,0,0
4183023-tg23,6,0,18,8,2,9,12,19,0,7,0,0,0,0
4202003-tg203,0,0,2,0,6,0,9,19,9,5,4,8,0,0
4231036-tg136,1,0,25,7,6,4,1,1,0,6,0,4,0,0
4231084-tg184,0,0,14,0,8,0,7,4,5,12,0,0,0,0
4202004-tg204,0,0,11,4,16,0,0,0,0,9,0,1,0,0
4221017-tg117,25,5,0,0,0,0,0,0,0,2,0,0,0,0
4231023-tg123,5,0,1,0,11,0,0,0,0,7,0,5,0,0
4202010-tg210,6,0,1,0,2,0,0,2,11,2,0,1,0,0
4141009-tg109,4,2,5,3,2,0,0,2,0,3,0,0,0,0
4141045-tg145,0,0,0,0,0,6,0,0,0,8,0,0,0,0
4221074-tg174,2,0,0,0,1,0,0,2,0,3,0,6,0,0
4221026-tg126,0,0,0,0,0,0,0,8,0,3,0,0,0,0
4221040-tg140,0,0,0,0,1,2,0,5,0,2,0,0,0,0
4202058-tg258,1,0,4,0,1,0,0,0,0,2,0,0,0,0
4152013-tg213,0,0,5,0,0,0,0,0,0,2,0,0,0,0
4152002-tg202,0,1,1,0,1,0,0,0,2,2,0,0,0,0
4152008-tg208,0,0,1,2,1,0,0,0,0,2,0,0,0,0
4141008-tg108,0,0,0,0,3,0,0,0,0,2,0,0,0,0
4231046-tg146,2,0,0,0,1,0,0,0,0,2,0,0,0,0
4231043-tg143,0,0,2,0,0,0,0,0,0,2,0,0,0,0
4231080-tg180,0,0,1,0,0,0,0,0,0,2,0,0,0,0
4221095-tg195,1,0,0,0,0,0,0,0,0,2,0,0,0,0
4231027-tg127,0,0,0,0,0,0,0,0,0,2,1,0,0,0
4231057-tg157,0,0,1,0,0,0,0,0,0,2,0,0,0,0
4221068-tg168,1,0,0,0,0,0,0,0,0,2,0,0,0,0
4221018-tg118,0,0,0,0,0,0,0,0,1,2,0,0,0,0
4202009-tg209,0,0,1,0,0,0,0,0,0,2,0,0,0,0
4221024-tg124,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4141088-tg188,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4231082-tg182,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4141012-tg112,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4231079-tg179,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4231078-tg178,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4231077-tg177,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4231065-tg165,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4231064-tg164,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4141035-tg135,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4141038-tg138,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4231051-tg151,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4141090-tg190,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4131007-tg107,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4152023-tg223,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4231033-tg133,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4152024-tg224,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4202007-tg207,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4231019-tg119,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4202014-tg214,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4202018-tg218,0,0,0,0,0,0,0,0,0,2,0,0,0,0
