school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4122100-tg300,48,57,56,37,70,22,47,57,72,29,34,41,15,0
4231036-tg136,61,70,104,66,29,59,28,24,16,35,25,44,17,0
4202034-tg234,69,70,40,22,30,36,45,57,50,37,42,43,30,0
4152031-tg231,47,43,65,31,29,17,23,58,28,46,18,32,21,0
4141009-tg109,49,38,46,33,16,16,29,52,26,19,15,41,10,0
4202004-tg204,50,44,30,27,30,16,10,28,16,31,29,36,6,0
4231058-tg158,67,48,45,29,12,18,18,25,25,20,13,23,10,0
4152072-tg272,46,39,53,20,6,19,24,16,25,23,27,21,7,0
4152038-tg238,56,31,52,31,7,27,20,7,10,24,27,25,5,0
4183023-tg23,38,14,34,31,8,19,32,42,10,19,34,35,1,0
4152012-tg212,26,22,27,10,20,11,27,32,28,21,22,24,15,0
4231084-tg184,14,7,23,4,10,0,51,28,51,18,0,16,0,0
4202058-tg258,64,29,16,8,12,8,7,7,24,16,9,11,8,0
4173074-tg74,62,37,28,7,5,5,14,4,10,14,8,16,1,0
4152002-tg202,43,28,11,4,6,8,5,12,36,15,19,13,2,0
4192081-tg281,29,20,17,5,7,12,19,34,19,15,5,16,4,0
4152092-tg292,15,22,28,17,8,12,12,13,12,11,5,7,2,0
4231023-tg123,36,22,7,4,4,3,7,23,9,8,7,7,5,0
4141008-tg108,36,19,9,2,17,3,5,4,15,10,8,1,6,0
4221067-tg167,11,16,6,5,4,15,8,14,14,14,13,7,5,0
4202003-tg203,8,8,8,2,8,2,19,23,22,9,5,10,1,0
4231051-tg151,43,13,24,4,5,2,4,1,5,7,2,12,2,0
4231057-tg157,7,7,44,8,7,3,2,13,6,3,2,17,2,0
4231046-tg146,39,23,7,3,5,2,10,4,10,5,2,6,1,0
4152082-tg282,32,6,5,2,2,0,4,8,4,41,2,0,0,0
4231082-tg182,12,7,11,3,9,0,10,20,7,15,5,5,0,0
4202032-tg232,15,13,22,5,4,4,1,5,14,5,3,12,1,0
4202059-tg259,25,11,4,2,2,4,4,3,8,12,2,4,2,0
4231027-tg127,5,9,4,4,2,3,6,6,8,9,10,7,2,0
4202057-tg257,15,11,10,3,5,1,2,3,5,6,3,3,0,0
4192099-tg299,20,15,5,2,2,0,6,4,6,3,3,0,0,0
4152008-tg208,10,7,16,11,4,0,2,1,5,6,2,1,1,0
4141035-tg135,6,5,4,2,2,0,5,6,11,7,5,8,0,0
4141045-tg145,8,5,6,2,2,10,1,2,5,9,0,1,2,0
4232044-tg244,10,7,4,2,2,2,2,1,4,6,0,0,1,0
4141088-tg188,6,7,4,2,3,1,2,2,5,3,1,1,0,0
4112043-tg243,11,5,5,2,2,0,4,1,4,3,0,0,0,0
4112005-tg205,6,7,4,2,3,1,1,2,5,3,0,2,0,0
4173079-tg79,6,9,4,2,2,0,2,1,4,3,0,0,0,0
4232045-tg245,10,5,4,2,2,0,1,1,5,3,0,0,0,0
4202047-tg247,5,5,4,2,3,0,1,1,4,3,0,0,0,0
4221034-tg134,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4231019-tg119,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4202098-tg298,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4202073-tg273,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4202018-tg218,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4202007-tg207,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4152033-tg233,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4231064-tg164,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4152024-tg224,5,5,4,2,2,0,1,1,4,3,0,0,0,0
