school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231036-tg136,12,28,12,13,63,14,92,22,5,24
4183023-tg23,9,8,2,7,19,11,10,25,6,3
4231058-tg158,3,26,12,1,18,14,3,14,1,0
4141009-tg109,2,5,1,2,10,5,24,2,0,0
4221040-tg140,1,2,6,13,15,4,0,3,2,0
4202004-tg204,0,13,1,0,5,11,9,5,0,0
4152012-tg212,0,14,2,0,4,5,1,7,1,0
4202058-tg258,0,8,3,0,3,5,5,1,0,1
4231084-tg184,0,9,7,0,0,7,0,3,0,0
4141008-tg108,2,8,3,1,3,3,4,1,0,0
4231082-tg182,6,2,0,4,2,6,0,5,0,0
4221026-tg126,1,2,0,0,8,1,5,4,3,0
4221067-tg167,3,0,0,1,13,0,0,4,0,0
4152013-tg213,0,1,0,0,15,2,1,1,0,0
4202003-tg203,0,8,1,0,0,7,0,0,0,0
4231023-tg123,0,3,0,0,0,2,0,11,0,0
4202010-tg210,3,4,0,0,6,0,0,0,0,0
4231046-tg146,2,3,2,0,1,3,0,0,0,0
4221018-tg118,0,1,1,0,4,1,0,1,0,0
4152002-tg202,2,1,1,0,1,2,0,0,0,0
4221017-tg117,2,3,0,0,1,0,0,0,0,0
4231064-tg164,0,1,1,1,1,1,1,0,0,0
4221024-tg124,0,2,0,0,0,2,0,0,0,0
4141012-tg112,0,1,0,0,1,1,0,1,0,0
4231051-tg151,0,0,0,0,3,1,0,0,0,0
4231043-tg143,0,1,0,0,0,1,1,0,0,0
4152023-tg223,0,1,1,0,0,0,0,1,0,0
4221095-tg195,1,0,0,0,1,0,0,1,0,0
4221074-tg174,0,1,1,0,0,1,0,0,0,0
4152008-tg208,0,1,1,0,0,1,0,0,0,0
4231033-tg133,0,0,0,0,1,1,0,0,0,0
4231027-tg127,0,0,0,0,0,0,0,2,0,0
4231057-tg157,0,0,0,0,0,0,1,1,0,0
4221068-tg168,0,0,0,0,1,0,0,1,0,0
4231079-tg179,0,1,0,0,0,0,0,0,0,0
4231080-tg180,0,0,0,0,0,0,1,0,0,0
4131007-tg107,0,0,0,0,0,1,0,0,0,0
